'code';'description';'variable_name';'methode_name'
"EMC2#date","Affiche la date du jour d/m/Y","MacroService","getDate"
"EMC2#datetime","Affiche la date et l heure d/m/Y à H:i","MacroService","getDateTime"
"Macro#Parametre","<p>Retourne la valeur d'un paramètre (Attention il faut préciser la catégorie et le paramètre de la façon suivante :  VAR[Macro#Parametre|CATEGORIE;PARAMETRE])</p>","MacroService","getValeurParametre"
"MISSION_SPECIFIQUE#LIBELLE","<p>Retourne le libell&eacute; d'une mission sp&eacute;cifique</p>","mission","getLibelle"
"MISSION_SPECIFIQUE#DESCRIPTION","<p>Affiche la description d'une mission sp&eacute;cifique ou&nbsp; 'Aucune description fournie pour cette mission sp&eacute;cifique' si la description est manquante</p>","mission","toStringDescription"
"MISSIONSPECIFIQUE#Type","<p>Retourne le type de la mission spécifique</p>","missionspecifique","toStringType"
"MISSIONSPECIFIQUE#Theme","<p>Retourne le thème d'une mission spécifique</p>","missionspecifique","toStringTheme"
"MISSIONSPECIFIQUE#Description","<p>Retourne le descriptif d'une mission spécifique</p>","missionspecifique","toStringDescription"
"MISSIONSPECIFIQUE#Libelle","<p>Retourne le libellé d'une mission spécifique</p>","missionspecifique","toStringLibelle"
"FICHE_METIER#COMPETENCES_OPERATIONNELLES",null,"fichemetier","getCompetencesOperationnelles"
"FICHE_METIER#MISSIONS_PRINCIPALES","<p>Retour le paragraphe des missions principales d'une fiche m&eacute;tier</p>","fichemetier","getMissions"
"FICHE_METIER#COMPETENCES","<p>Retourne la liste des comp&eacute;tences d'une fiche m&eacute;tier</p>","fichemetier","getCompetences"
"FICHE_METIER#COMPETENCES_COMPORTEMENTALES",null,"fichemetier","getCompetencesComportementales"
"FICHE_METIER#APPLICATIONS","<p>Affiche les applications associ&eacute;s &agrave; une fiche m&eacute;tier</p>","fichemetier","getApplicationsAffichage"
"FICHE_METIER#INTITULE","<p>Retourne le titre du m&eacute;tier associ&eacute; &agrave; la fiche m&eacute;tier</p>","fichemetier","getIntitule"
"FICHE_METIER#CONNAISSANCES",null,"fichemetier","getConnaissances"
"STRUCTURE#bloc",null,"structure","toStringStructureBloc"
"STRUCTURE#gestionnaires","<p>Affiche sous la forme d'un listing les Gestionnaires de la structure</p>","structure","toStringGestionnaires"
"STRUCTURE#libelle","<p>Retourne le libellé de la structure</p>","structure","toStringLibelle"
"STRUCTURE#libelle_long","<p>Retourne le libellé de la structure + le libell&amp;eacute de la structure de niveau 2</p>","structure","toStringLibelleLong"
"STRUCTURE#responsables","<p>Affiches sous la forme d'un listing les Responsables d'une structure</p>","structure","toStringResponsables"
"STRUCTURE#resume",null,"structure","toStringResume"
