'code';'libelle';'description';'ordre'
"GLOBAL","Globaux","<p>Param&egrave;tres g&eacute;n&eacute;raux de l'application</p>","1"
"ENTRETIEN_PROFESSIONNEL","Entretiens professionnels",null,"10"
"CARRIERE","Carrière",null,"20"
"AGENT","Agent",null,"100"
"FICHE_METIER","Fiches métiers",null,"200"
"FICHE_POSTE","Fiches de poste",null,"300"
"STRUCTURE","Structures",null,"1000"
